Family,Subfamily,Tribe,Species name and author,tips,"broad_sociality (solitary, social, kleptoparasite, social parasite)","fine_sociality (communal, primitively eusocial, eusocial)",sociality_notes,sociality_ref,nesting_broad,nesting_fine,reference,Nest.Accuracy,habitat,reference
Andrenidae,,Andreninini,,Andrena_luscinia,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_proxima,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_ampla,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_alutacea,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_dividicincta,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_exigua,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_spreta,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_semilaevis,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_pusilla,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_fabrella,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_longibarbis,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_mariana,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_pandosa,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_oedicnema,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_cedricola,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_distinguenda,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_nitidula,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_decollata,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_orana,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_melanochroa,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_nigrae,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
