"family","subfamily","species"
"Apidae","Apinae","Melecta bohartorum"
"Apidae","Apinae","Trigona permodica"
"Apidae","Xylocopinae","Ceratina cockerelli"
"Apidae","Apinae","Anthophora capistrata"
"Apidae","Xylocopinae","Ceratina ignara"
"Apidae","Apinae","Amegilla albocaudata"
"Apidae","Apinae","Brachymelecta larreae"
"Apidae","Nomadinae","Triepeolus kathrynae"
"Apidae","Apinae","Anthophorula micheneri"
"Apidae","Apinae","Geotrigona acapulconis"
"Apidae","Nomadinae","Nomada scitiformis"
"Apidae","Apinae","Anthophora affabilis"
"Apidae","Apinae","Anthophorula gracilicornis"
"Apidae","Apinae","Anthophora neglecta"
"Apidae","Apinae","Svastra petulca"
"Apidae","Apinae","Plebeia parkeri"
"Apidae","Apinae","Anthophorula parva"
"Apidae","Apinae","Melipona yucatanica"
"Apidae","Nomadinae","Nomada grayi"
"Apidae","Apinae","Habropoda morrisoni"
"Apidae","Nomadinae","Brachynomada chica"
"Apidae","Apinae","Trigonisca pipioli"
"Apidae","Xylocopinae","Ceratina acantha"
"Apidae","Apinae","Eucera quadricincta"
"Apidae","Apinae","Svastra albocollaris"
"Apidae","Apinae","Xenoglossa kansensis"
"Apidae","Apinae","Anthophora phaceliae"
"Apidae","Apinae","Melipona lupitae"
"Apidae","Apinae","Eufriesea oliveri"
"Apidae","Apinae","Anthophorula scapalis"
"Apidae","Nomadinae","Triepeolus flavigradus"
"Apidae","Apinae","Anthophorula nevadensis"
"Apidae","Apinae","Eufriesea barthelli"
"Apidae","Apinae","Eufriesea caerulescens"
"Apidae","Apinae","Exomalopsis modesta"
"Apidae","Xylocopinae","Ceratina diodonta"
"Apidae","Apinae","Brachymelecta interrupta"
"Apidae","Apinae","Peponapis azteca"
"Apidae","Apinae","Eulaema luteola"
"Apidae","Nomadinae","Triepeolus intrepidus"
"Apidae","Apinae","Melissodes apicatus"
"Apidae","Apinae","Mesoplia sapphirina"
"Apidae","Nomadinae","Triepeolus helianthi"
"Apidae","Apinae","Anthophora pueblo"
"Apidae","Apinae","Anthophora lesquerellae"
"Apidae","Xylocopinae","Ceratina pacifica"
"Apidae","Xylocopinae","Xylocopa mexicanorum"
"Apidae","Nomadinae","Triepeolus mexicanus"
"Apidae","Apinae","Lestrimelitta mourei"
"Apidae","Nomadinae","Triepeolus townsendi"
"Apidae","Apinae","Melissodes metenua"
"Apidae","Apinae","Anthophora forbesi"
"Apidae","Apinae","Centris flavifrons"
"Apidae","Nomadinae","Triepeolus subnitens"
"Apidae","Xylocopinae","Ceratina virescens"
"Apidae","Apinae","Anthophorula eriogoni"
"Apidae","Apinae","Melissodes nigracauda"
"Apidae","Nomadinae","Nomada aztecorum"
"Apidae","Apinae","Cephalotrigona eburneiventer"
"Apidae","Apinae","Melissodes monoensis"
"Apidae","Apinae","Xenoglossa gabbii"
