"species","n_bio_3","mean_bio_3","sd_bio_3","se_bio_3","within_sp_var_bio_3"
"Neolarra_vigilans","36","33","4.554433","0.759072","1.130679"
"Ceratina_pacifica","80","33.0375","5.429511","0.607038","0.508805"
"Melipona_costaricensis","15","57.933333","4.77294","1.232368","2.713629"
"Ericrocis_pintada","35","45.771429","6.324954","1.069112","1.162984"
"Eucera_vulpes","8","26.25","4.301163","1.520691","5.088053"
"Centris_decolorata","45","40.488889","11.490356","1.712881","0.904543"
"Anthophora_rhodothorax","14","40.928571","3.407329","0.910647","2.907459"
"Neolarra_californica","38","37.394737","5.053976","0.819863","1.071169"
"Melissodes_dagosus","42","30.52381","2.839083","0.43808","0.969153"
"Centris_trigonoides","75","54.053333","8.223061","0.949517","0.542726"
"Eucera_actuosa","56","34.892857","5.713393","0.763484","0.726865"
"Melissodes_opuntiellus","21","35.571429","3.218252","0.70228","1.938306"
"Melipona_solani","13","54","3.559026","0.987096","3.13111"
"Anthophorula_euphorbiae","14","38.785714","2.607049","0.696763","2.907459"
"Mesocheira_bicolor","65","53.492308","7.986557","0.99061","0.626222"
"Anthophorula_albata","22","35.045455","5.736079","1.222936","1.850201"
"Melissodes_snowii","14","30.428571","5.094707","1.361618","2.907459"
"Anthophora_mortuaria","22","36.045455","3.696553","0.788108","1.850201"
"Xylocopa_muscaria","55","55.290909","8.482384","1.143764","0.740081"
"Gaesischia_exul","23","49.956522","8.39631","1.750752","1.769758"
"Epicharis_maculata","27","54.407407","8.312452","1.599732","1.507571"
"Holcopasites_minimus","8","37.125","4.223658","1.493289","5.088053"
"Nomada_bella","28","23.178571","3.652027","0.690168","1.45373"
"Eufriesea_mexicana","32","51.59375","5.321044","0.940637","1.272013"
"Exomalopsis_solidaginis","39","35.692308","3.907845","0.625756","1.043703"
"Eucera_lutziana","9","30.666667","3.082207","1.027402","4.522714"
"Nomada_australis","51","23.431373","4.84254","0.678091","0.798126"
"Epeolus_ilicis","14","27.071429","4.141057","1.106744","2.907459"
