"species","n_LAI","mean_LAI","sd_LAI","se_LAI","within_sp_var_LAI"
"Nomada_fusca","91","77.769231","110.120548","11.54377","100.746079"
"Bombus_pyrrhopygus","67","142.522388","125.859994","15.376246","136.834226"
"Epeolus_alpinus","96","81.8125","111.9958","11.430523","95.498887"
"Bombus_wurflenii","129","57.232558","93.506476","8.232786","71.068939"
"Doeringiella_gayi","23","114.217391","87.861439","18.320376","398.604051"
"Bombus_trifasciatus","18","78.888889","60.999411","14.377699","509.327398"
"Bombus_ignitus","46","79.891304","105.755321","15.592771","199.302025"
"Nannotrigona_testaceicornis","56","151.232143","86.715206","11.587807","163.712378"
"Bombus_hedini","6","11","5.621388","2.294922","1527.982194"
"Bombus_hypocrita","47","81","104.569511","15.253031","195.061557"
"Geniotrigona_thoracica","31","129.193548","70.012103","12.574545","295.738489"
"Nomada_succincta","121","86.892562","96.400363","8.763669","75.767712"
"Eucera_nigrilabris","40","115.525","115.845606","18.316799","229.197329"
"Xylocopa_sulcatipes","11","209.909091","100.32094","30.247902","833.444833"
"Eucera_nipponensis","43","94.186047","104.373472","15.916805","213.206818"
"Bombus_cullumanus","39","80.794872","105.154818","16.838247","235.074184"
"Bombus_melaleucus","14","119.428571","76.448791","20.431799","654.849512"
"Nomada_fuscicornis","71","76.577465","98.220984","11.656686","129.125256"
"Nomada_guttulata","67","89.268657","98.678017","12.055439","136.834226"
"Biastes_truncatus","40","73.075","100.077505","15.823643","229.197329"
"Nomada_stigma","51","77.490196","90.575576","12.683118","179.762611"
"Euglossa_modestior","26","112.153846","57.16201","11.210392","352.611276"
"Euglossa_tridentata","45","151.688889","65.986163","9.836636","203.730959"
"Eulaema_nigrita","111","128.225225","78.84665","7.483793","82.593632"
"Euglossa_liopoda","5","142.6","70.073533","31.337837","1833.578633"
"Euglossa_variabilis","43","151.046512","74.450672","11.353621","213.206818"
"Euglossa_chlorina","12","108","62.005865","17.899551","763.991097"
"Eulaema_meriana","129","128.682171","62.604036","5.511978","71.068939"
"Eulaema_mocsaryi","63","110.015873","54.222508","6.831394","145.522114"
"Euglossa_igniventris","11","135.909091","70.83425","21.35733","833.444833"
"Euglossa_hemichlora","39","135.025641","63.597206","10.183703","235.074184"
"Euglossa_amazonica","19","144.315789","75.185735","17.248791","482.520693"
"Euglossa_mixta","55","127.327273","56.425321","7.608389","166.688967"
"Euglossa_deceptrix","20","157.8","67.378429","15.066275","458.394658"
"Euglossa_mourei","25","109.24","47.19488","9.438976","366.715727"
"Euglossa_allosticta","23","131.869565","59.662158","12.44042","398.604051"
"Bombus_neoboreus","39","108.025641","124.210663","19.889624","235.074184"
"Bombus_morio","124","124","73.238779","6.577037","73.934622"
"Trigona_silvestriana","55","125.363636","63.649027","8.582433","166.688967"
"Xylocopa_viridigastra","22","90.454545","104.733097","22.329171","416.722417"
"Bombus_bellicosus","49","91.081633","89.626502","12.803786","187.099861"
"Nomada_sheppardana","80","94.2","95.25029","10.649306","114.598665"
"Nomada_conjungens","44","87.772727","98.614557","14.866704","208.361208"
"Thyreus_histrionicus","49","154.714286","112.930288","16.132898","187.099861"
"Thyreus_orbatus","52","69.788462","86.57114","12.005257","176.305638"
"Melecta_luctuosa","86","75.895349","90.587758","9.768329","106.603409"
"Nomada_furva","25","35.92","48.039845","9.607969","366.715727"
"Nomada_distinguenda","51","63.509804","84.68893","11.858822","179.762611"
"Centris_nigrocaerulea","27","55.666667","55.153632","10.614321","339.551599"
"Melissodes_colliciatus","26","52.384615","71.305022","13.984065","352.611276"
"Nomada_tridentirostris","7","103","104.750497","39.591966","1309.699024"
"Ptilotrigona_occidentalis","9","121.777778","74.837788","24.945929","1018.654796"
"Euglossa_sapphirina","19","143.157895","63.414214","14.548218","482.520693"
"Eufriesea_pulchra","43","123.27907","59.376252","9.054794","213.206818"
"Nomada_hirtipes","37","89.378378","90.777919","14.923798","247.780896"
"Nomada_obtusifrons","85","78.917647","97.207707","10.543656","107.857567"
"Trigona_hyalinata","56","125.446429","83.488033","11.156558","163.712378"
"Amegilla_albigena","100","101.8","108.976691","10.897669","91.678932"
"Xylocopa_olivieri","12","73.25","110.129779","31.791729","763.991097"
"Bombus_mesomelas","42","21.571429","40.178955","6.199747","218.283171"
"Epeolus_luteipennis","2","97","56.568542","40","4583.946583"
"Epicharis_flava","19","169.210526","93.50079","21.450552","482.520693"
"Plebeia_droryana","23","173","79.075338","16.488348","398.604051"
"Bombus_koreanus","4","6.75","2.872281","1.436141","2291.973292"
"Partamona_helleri","48","146.0625","85.975604","12.40951","190.997774"
"Ammobatoides_abdominalis","12","55.5","93.989845","27.132531","763.991097"
"Epeolus_fallax","31","57.387097","78.096811","14.026601","295.738489"
"Apis_nigrocincta","9","115.666667","87.011493","29.003831","1018.654796"
"Trigona_ferricauda","16","112.625","79.662517","19.915629","572.993323"
"Xylocopa_nasalis","43","100.860465","95.268438","14.528301","213.206818"
"Bombus_picipes","8","21.625","18.592913","6.573587","1145.986646"
"Manuelia_postica","22","173.318182","92.642881","19.751529","416.722417"
"Coelioxoides_waltheriae","11","155.909091","74.887188","22.579337","833.444833"
"Eucera_notata","10","121.5","115.531862","36.534383","916.789317"
"Tarsalia_hirtipes","1","255",NA,NA,"9167.893166"
"Tetragonula_iridipennis","20","121.15","95.684391","21.39568","458.394658"
"Plebeia_franki","3","153.333333","88.92881","51.343072","3055.964389"
"Euglossa_heterosticta","46","126.73913","60.888399","8.977505","199.302025"
"Ptilotrigona_lurida","80","115.55","67.43415","7.539367","114.598665"
"Euglossa_ignita","85","127.211765","63.135548","6.848012","107.857567"
"Euglossa_stilbonota","16","127.75","62.562502","15.640626","572.993323"
"Eufriesea_anisochlora","5","134","68.121215","30.464733","1833.578633"
"Eufriesea_violascens","5","144.6","73.70753","32.96301","1833.578633"
"Braunsapis_mixta","15","135.866667","115.888411","29.922259","611.192878"
"Lanthanomelissa_betinae","5","202.6","72.033326","32.214283","1833.578633"
"Xylocopa_ciliata","22","125.045455","94.537711","20.155508","416.722417"
"Anthophora_atroalba","27","130.259259","114.262045","21.989741","339.551599"
"Isepeolus_viperinus","33","124.787879","104.981772","18.274981","277.814944"
"Lestrimelitta_limao","24","139.583333","86.449742","17.64648","381.995549"
"Diadasina_distincta","14","144","83.564807","22.333634","654.849512"
"Liotrigona_madecassa","6","98.833333","80.492029","32.860733","1527.982194"
"Rhinepeolus_rufiventris","11","51.545455","63.413506","19.119891","833.444833"
"Diadasia_pereyrae","27","86.777778","81.054746","15.598993","339.551599"
"Centris_buchholzi","17","211.176471","97.591134","23.669327","539.287833"
"Osiris_mourei","12","134.666667","57.444571","16.582819","763.991097"
"Melipona_eburnea","32","110.75","41.049144","7.256532","286.496661"
"Amegilla_calens","66","74.545455","70.060234","8.623819","138.907472"
"Nanorhathymus_acutiventris","11","138.090909","77.799042","23.457294","833.444833"
"Trigona_pallens","95","120.915789","68.382321","7.015878","96.504139"
"Eucera_nigrifacies","20","98.25","105.808106","23.659412","458.394658"
"Bombus_brevivillus","31","91","67.796263","12.176568","295.738489"
"Geotrigona_mombuca","23","86.434783","55.794938","11.634049","398.604051"
"Schwarziana_quadripunctata","40","115.7","69.513769","10.991092","229.197329"
"Trigona_chanchamayoensis","65","114.292308","60.506643","7.504925","141.04451"
"Scaptotrigona_tricolorata","8","93.5","25.834639","9.133924","1145.986646"
"Tetragonula_geissleri","2","176","111.722871","79","4583.946583"
"Caenoprosopis_crabronina","15","107.6","100.384831","25.919252","611.192878"
"Ceratina_cognata","13","91","69.964277","19.404599","705.222551"
"Hypotrigona_gribodoi","56","71.642857","72.917495","9.74401","163.712378"
"Scaura_latitarsis","41","108.853659","58.370609","9.115958","223.60715"
"Friesella_schrottkyi","16","113.0625","73.267063","18.316766","572.993323"
"Leptometriella_separata","21","92.190476","97.770967","21.335374","436.566341"
"Trigona_williana","99","102.59596","53.319392","5.358801","92.604981"
"Thygater_analis","71","123.253521","77.095436","9.149545","129.125256"
"Trigona_cilipes","56","125.803571","69.838104","9.332509","163.712378"
"Tetragonula_fuscobalteata","8","140.625","85.533515","30.240664","1145.986646"
"Anthophora_pubescens","40","77.175","91.413091","14.453679","229.197329"
"Paratetrapedia_volatilis","10","141.5","86.126844","27.235699","916.789317"
"Mesonychium_garleppi","17","142.470588","123.187417","29.877337","539.287833"
"Centris_muralis","12","32","70.733816","20.419094","763.991097"
"Partamona_cupira","40","98.275","65.780516","10.400813","229.197329"
"Frieseomelitta_varia","23","116.652174","78.308602","16.328472","398.604051"
"Bombus_persicus","4","70.5","123.00813","61.504065","2291.973292"
"Centris_nigerrima","27","131.074074","104.051365","20.024695","339.551599"
"Trigona_crassipes","27","114.666667","65.952197","12.692506","339.551599"
"Ptilothrix_tricolor","17","67.882353","75.755266","18.373351","539.287833"
"Bombus_transversalis","79","123.848101","61.927395","6.967376","116.049281"
"Trigona_hypogea","38","103.263158","60.940682","9.885884","241.260346"
"Cephalotrigona_capitata","26","150.153846","78.875442","15.468747","352.611276"
"Hypotrigona_araujoi","13","68.461538","63.542132","17.623417","705.222551"
"Apis_koschevnikovi","14","128.928571","73.874597","19.743817","654.849512"
"Hopliphora_funereus","6","182","87.498571","35.721142","1527.982194"
"Tetragona_goettei","54","113.259259","56.63494","7.707039","169.775799"
"Melipona_fulva","15","114.666667","75.375883","19.461969","611.192878"
"Melipona_fuliginosa","39","125.461538","73.881429","11.830497","235.074184"
"Euglossa_nigropilosa","8","111.875","64.837021","22.923349","1145.986646"
"Scaptotrigona_polysticta","25","112.4","57.687376","11.537475","366.715727"
"Trigona_recursa","92","110.315217","67.899235","7.078985","99.651013"
"Chalepogenus_cocuccii","6","60.5","48.517007","19.806985","1527.982194"
"Anthophora_paranensis","34","102.088235","98.780248","16.940673","269.643917"
"Exomalopsis_trifasciata","5","97","96.322375","43.076676","1833.578633"
"Melipona_bicolor","19","154.684211","66.287298","15.207349","482.520693"
"Partamona_brevipilosa","2","84.5","17.67767","12.5","4583.946583"
"Partamona_musarum","20","155.25","58.997658","13.192277","458.394658"
"Partamona_ailyae","61","116.04918","65.365747","8.369226","150.293331"
"Nogueirapis_butteli","12","178.583333","74.107365","21.392954","763.991097"
"Melipona_illustris","16","142.1875","71.139505","17.784876","572.993323"
"Xylocopa_macrops","14","119.285714","81.66482","21.825841","654.849512"
"Epeolus_subrufescens","1","255",NA,NA,"9167.893166"
"Trigona_amazonensis","54","108.666667","47.851579","6.511775","169.775799"
"Melipona_marginata","26","136.5","74.419487","14.594862","352.611276"
"Rhogepeolus_bigibbosus","4","30.75","24.377243","12.188622","2291.973292"
"Pasites_appletoni","22","52.136364","68.818807","14.672219","416.722417"
"Melipona_fasciculata","25","115.32","85.235321","17.047064","366.715727"
"Bombus_portchinsky","0","NaN",NA,NA,"Inf"
"Canephorula_apiformis","14","85.714286","112.195865","29.985606","654.849512"
"Euglossa_villosiventris","9","140","62.100725","20.700242","1018.654796"
"Euglossa_championi","13","152.692308","62.837601","17.428015","705.222551"
"Euglossa_cognata","46","116.456522","56.399254","8.315616","199.302025"
"Ceratina_binghami","9","96.444444","95.796805","31.932268","1018.654796"
"Exomalopsis_solitaria","16","46","61.140276","15.285069","572.993323"
"Euglossa_cybelia","21","130.190476","67.062373","14.63421","436.566341"
"Scaura_timida","23","106.391304","35.727172","7.44963","398.604051"
"Scaptotrigona_subobscuripennis","7","139","62.313722","23.552373","1309.699024"
"Euglossa_cordata","38","144.026316","82.253559","13.343289","241.260346"
"Tapinotaspis_chalybaea","6","124.5","113.58477","46.370788","1527.982194"
"Trigonisca_buyssoni","2","157","28.284271","20","4583.946583"
"Partamona_testacea","69","110.637681","54.241825","6.529948","132.868017"
"Euglossa_despecta","19","160.210526","66.763745","15.316654","482.520693"
"Euglossa_iopyrrha","22","110.181818","52.905699","11.279533","416.722417"
"Oxytrigona_obscura","40","104.25","51.671919","8.170048","229.197329"
"Euglossa_chalybeata","52","117.153846","58.358723","8.092899","176.305638"
"Ancyloscelis_ursinus","3","72","11","6.350853","3055.964389"
"Melipona_rufiventris","33","125","69.853418","12.159919","277.814944"
"Centris_aenea","24","103.458333","82.353416","16.810321","381.995549"
"Melipona_nebulosa","20","88.75","55.359947","12.37886","458.394658"
"Ammobates_punctatus","32","81.75","94.13991","16.641742","286.496661"
"Euglossa_oleolucens","6","141.166667","52.715905","21.521178","1527.982194"
"Hypotrigona_ruspolii","24","85.583333","84.848159","17.319558","381.995549"
"Paratrigona_impunctata","33","134.151515","66.448345","11.567172","277.814944"
"Geotrigona_fulvohirta","28","120.178571","56.046973","10.591882","327.424756"
"Euglossa_bidentata","31","97.387097","38.455756","6.906858","295.738489"
"Euglossa_purpurea","11","162.272727","44.075142","13.289155","833.444833"
"Euglossa_annectans","8","155.125","64.995467","22.979368","1145.986646"
"Euglossa_viridifrons","8","144.5","53.028294","18.748333","1145.986646"
"Euglossa_dodsoni","14","146.642857","61.156303","16.344709","654.849512"
"Euglossa_prasina","16","105.6875","57.360519","14.34013","572.993323"
"Eufriesea_violacea","27","166.555556","65.503572","12.606168","339.551599"
"Braunsapis_picitarsis","5","216.2","86.759438","38.8","1833.578633"
"Ceratina_bispinosa","10","184.1","114.218553","36.119078","916.789317"
"Leiopodus_abnormis","16","83.5625","86.554776","21.638694","572.993323"
"Triepeolus_tristis","20","81.35","103.51622","23.14693","458.394658"
"Eucera_collaris","5","165","123.24569","55.117148","1833.578633"
"Osirinus_lemniscatus","4","100","59.391357","29.695678","2291.973292"
"Nomada_minuscula","11","94.727273","103.545247","31.220067","833.444833"
"Mesoplia_rufipes","7","158.857143","72.966724","27.578829","1309.699024"
"Centris_moerens","3","125.666667","112.005952","64.666667","3055.964389"
"Alloscirtetica_tristrigata","18","90.777778","99.528037","23.458983","509.327398"
"Diadasia_chilensis","35","111.6","105.943437","17.907709","261.939805"
"Meliponula_bocandei","34","121.794118","86.257114","14.792973","269.643917"
"Thyreus_takaonis","8","148","114.862651","40.61008","1145.986646"
"Centris_cineraria","31","68.387097","93.062587","16.714534","295.738489"
"Liotrigona_bottegoi","44","58.386364","64.744656","9.760624","208.361208"
"Centris_similis","22","157.454545","80.447396","17.151442","416.722417"
"Parepeolus_aterrimus","11","37.909091","47.51727","14.326996","833.444833"
"Chalepogenus_herbsti","8","191.75","98.266038","34.742291","1145.986646"
"Tetraloniella_fulvescens","16","40.0625","60.2334","15.05835","572.993323"
"Bombus_haematurus","57","89.929825","113.354668","15.014193","160.840231"
"Melipona_melanoventer","25","98.28","49.714619","9.942924","366.715727"
"Tetragonula_laeviceps","30","122.3","69.619235","12.710675","305.596439"
"Ceratina_moderata","1","68",NA,NA,"9167.893166"
"Melipona_flavolineata","17","137.705882","92.219009","22.366395","539.287833"
"Euglossa_occidentalis","5","108.2","25.897876","11.581882","1833.578633"
"Euglossa_orellana","33","124.090909","57.557234","10.019428","277.814944"
"Euglossa_maculilabris","10","138","68.729744","21.734253","916.789317"
"Nomada_rufipes","212","79.740566","97.500048","6.696331","43.244779"
"Euglossa_dissimula","5","155","43.743571","19.56272","1833.578633"
"Paratrigona_subnuda","31","110.83871","62.460706","11.218274","295.738489"
"Paratetrapedia_connexa","23","141.434783","61.398716","12.802517","398.604051"
"Tetragona_perangulata","10","161.9","70.470561","22.284748","916.789317"
"Heterotrigona_erythrogastra","2","99","2.828427","2","4583.946583"
"Lepidotrigona_terminata","41","113.04878","66.115411","10.325492","223.60715"
"Frieseomelitta_trichocerata","27","101.185185","63.09275","12.142205","339.551599"
"Euglossa_perviridis","2","115.5","20.506097","14.5","4583.946583"
"Bombus_niveatus","22","66.409091","105.019571","22.390248","416.722417"
"Ceratina_moerenhouti","44","75.75","71.091531","10.717452","208.361208"
"Centris_plumipes","4","132","82.12592","41.06296","2291.973292"
"Euglossa_hansoni","18","149.833333","72.023076","16.976002","509.327398"
"Euglossa_iopoecila","6","193.666667","72.61313","29.644186","1527.982194"
"Scaptotrigona_bipunctata","36","150.527778","78.745335","13.124222","254.663699"
"Centris_mixta","10","230.5","77.475803","24.5","916.789317"
"Scaptotrigona_depilis","22","141.5","76.168204","16.239116","416.722417"
"Eufriesea_surinamensis","55","131.945455","77.999862","10.517499","166.688967"
"Trigona_dallatorreana","69","114.130435","57.456867","6.916994","132.868017"
"Epicharis_zonata","4","181.5","87.290702","43.645351","2291.973292"
"Ceratina_bryanti","20","105.35","54.199704","12.119422","458.394658"
"Dactylurina_staudingeri","16","92.375","75.177013","18.794253","572.993323"
"Ptilotrigona_pereneae","20","92.05","29.509098","6.598435","458.394658"
"Mesoplia_regalis","2","169","121.622366","86","4583.946583"
"Frieseomelitta_silvestrii","7","128.142857","90.666842","34.268845","1309.699024"
"Ceratina_accusator","2","129.5","20.506097","14.5","4583.946583"
"Nannotrigona_melanocera","34","120.058824","53.270574","9.135828","269.643917"
"Epicharis_affinis","11","112.363636","56.556649","17.052471","833.444833"
"Eufriesea_chrysopyga","15","138.466667","44.110036","11.389162","611.192878"
"Eulaema_bombiformis","79","125.177215","63.046739","7.093312","116.049281"
"Paratrigona_pacifica","12","133.583333","69.897923","20.177792","763.991097"
"Euglossa_erythrochlora","8","188.25","80.852158","28.585555","1145.986646"
"Melipona_titania","9","112.444444","38.425614","12.808538","1018.654796"
"Euglossa_augaspis","54","120.648148","55.180718","7.509145","169.775799"
"Melitoma_nudipes","4","91.5","111.810852","55.905426","2291.973292"
"Epicharis_umbraculata","5","130.2","82.756873","37.009999","1833.578633"
"Melipona_favosa","34","132.794118","87.592299","15.021955","269.643917"
"Chalepogenus_rozeni","12","65.666667","92.34553","26.657858","763.991097"
"Melipona_variegatipes","2","185","98.994949","70","4583.946583"
"Centris_dorsata","4","173.5","95.514397","47.757198","2291.973292"
"Ancyla_holtzi","3","96.666667","137.325647","79.284999","3055.964389"
"Homotrigona_fimbriata","11","107.727273","41.400703","12.482782","833.444833"
"Eucera_decipiens","2","17.5","14.849242","10.5","4583.946583"
"Anthophora_parkeri","11","96.363636","125.811186","37.9335","833.444833"
"Melissodes_rufipes","11","32.363636","73.935476","22.292385","833.444833"
"Eucera_alborufa","4","68.75","124.274897","62.137448","2291.973292"
"Eufriesea_magrettii","6","69.333333","21.667179","8.845589","1527.982194"
"Nannotrigona_schultzei","17","124.823529","69.80261","16.92962","539.287833"
"Melipona_tumupasae","3","136.666667","36.555893","21.105555","3055.964389"
"Frieseomelitta_flavicornis","11","107.727273","61.499741","18.54287","833.444833"
"Euglossa_bursigera","14","176.571429","72.940138","19.494072","654.849512"
"Partamona_vicina","62","124.306452","68.473422","8.696133","147.869245"
"Epiclopus_gayi","17","83.058824","97.439385","23.632522","539.287833"
"Ceratina_citriphila","5","162.8","127.162101","56.86862","1833.578633"
"Melipona_seminigra","59","125.254237","70.054558","9.120327","155.38802"
"Pasites_maculatus","34","86.735294","110.562284","18.961275","269.643917"
"Biastes_emarginatus","17","36.352941","58.217202","14.119745","539.287833"
"Trigonisca_longicornis","18","122.833333","65.324754","15.397192","509.327398"
"Svastrides_zebra","17","57.823529","94.751145","22.980528","539.287833"
"Tetragona_dorsalis","5","119.2","80.91786","36.187567","1833.578633"
"Ceratina_nigrolateralis","32","105.75","69.264803","12.244403","286.496661"
"Tetragonula_hirashimai","1","104",NA,NA,"9167.893166"
"Nomada_sexfasciata","80","66.8375","87.910548","9.828698","114.598665"
"Xylocopa_hirsutissima","6","113.666667","75.181558","30.692743","1527.982194"
"Melipona_triplaridis","4","234.5","41","20.5","2291.973292"
"Mourella_caerulea","15","109","66.846306","17.259642","611.192878"
"Centris_longimana","47","143.382979","68.992297","10.063561","195.061557"
"Arhysoceble_picta","10","84.3","39.282594","12.422247","916.789317"
"Euglossa_crassipunctata","39","134.282051","64.741164","10.366883","235.074184"
"Euglossa_macrorhyncha","38","138.5","75.935517","12.318367","241.260346"
"Centris_tarsata","53","105.509434","72.880994","10.010974","172.979116"
"Euglossa_cyanura","12","153.833333","66.477383","19.190367","763.991097"
"Euglossa_intersecta","44","119.681818","55.101502","8.306864","208.361208"
"Euglossa_decorata","12","130.833333","67.470981","19.477195","763.991097"
"Ceratina_mandibularis","4","142.5","129.914074","64.957037","2291.973292"
"Euglossa_lugubris","1","255",NA,NA,"9167.893166"
"Eufriesea_rufocauda","10","117","62.567297","19.785517","916.789317"
"Chalepogenus_caeruleus","19","120.105263","85.797497","19.683296","482.520693"
"Anthophora_arequipensis","12","86.166667","106.147268","30.642077","763.991097"
"Ctenoplectra_antinorii","1","119",NA,NA,"9167.893166"
"Euglossa_flammea","11","137.727273","66.733936","20.121039","833.444833"
"Eucera_hungarica","8","19.75","15.285381","5.404198","1145.986646"
"Eulaema_flavescens","26","121.807692","63.771479","12.506616","352.611276"
"Euglossa_gorgonensis","8","142","50.686713","17.920459","1145.986646"
"Euglossa_melanotricha","6","99.833333","78.425549","32.017096","1527.982194"
"Euglossa_hyacinthina","1","65",NA,NA,"9167.893166"
"Euglossa_turbinifex","5","115.8","102.923272","46.028687","1833.578633"
"Braunsapis_bouyssoui","28","93","88.287829","16.684831","327.424756"
"Macrogalea_candida","25","88.68","99.087386","19.817477","366.715727"
"Centris_analis","90","126.688889","82.026667","8.64637","101.86548"
"Isepeolus_luctuosus","38","121.473684","101.833393","16.519558","241.260346"
"Nomada_atroscutellaris","21","71.809524","91.4946","19.965759","436.566341"
"Ptilothrix_relata","17","135.764706","83.355061","20.216572","539.287833"
"Nomada_mutica","24","96.125","104.947735","21.422367","381.995549"
"Bombus_festivus","18","50.666667","58.896719","13.88209","509.327398"
"Bombus_cornutus","3","36.666667","21.36196","12.333333","3055.964389"
"Kelita_chilensis","8","115.375","93.20628","32.953396","1145.986646"
"Epeolus_amabilis","35","53.142857","79.473319","13.433443","261.939805"
"Ceratina_nigrolabiata","8","78.25","110.348474","39.014077","1145.986646"
"Nomada_femoralis","53","78.90566","92.67546","12.729953","172.979116"
"Ceratina_chalybea","56","56.446429","77.385674","10.341096","163.712378"
"Chilimalopsis_parvula","3","8","1.732051","1","3055.964389"
"Melectoides_niveiventris","1","10",NA,NA,"9167.893166"
"Epiclopus_lendlianus","8","77.375","79.5073","28.110075","1145.986646"
"Epeolus_tarsalis","5","170.8","115.633905","51.713054","1833.578633"
"Mirnapis_inca","2","255","0","0","4583.946583"
"Melectoides_rozeni","3","171","145.492268","84","3055.964389"
"Epeolus_flavociliatus","7","185.142857","119.382339","45.122283","1309.699024"
"Epeolus_variolosus","8","63.125","27.925603","9.873192","1145.986646"
"Bombus_melanurus","15","105.066667","126.732827","32.722275","611.192878"
"Nomada_opaca","65","83.030769","108.07043","13.404487","141.04451"
"Ceratina_chalcites","30","76.6","100.934803","18.428089","305.596439"
"Oxytrigona_tataira","48","113.229167","74.562052","10.762105","190.997774"
"Bombus_margreiteri","0","NaN",NA,NA,"Inf"
"Eufriesea_auriceps","8","86.625","51.804405","18.315623","1145.986646"
"Trigona_muzoensis","25","159.8","75.017776","15.003555","366.715727"
"Epeolus_inornatus","7","56.285714","87.844018","33.201918","1309.699024"
"Nomada_nobilis","16","113.375","113.984136","28.496034","572.993323"
"Bombus_mucidus","25","43.64","65.694292","13.138858","366.715727"
"Nomada_melathoracica","21","63.714286","81.027244","17.681594","436.566341"
"Euglossa_milenae","4","197.75","79.688456","39.844228","2291.973292"
"Eufriesea_macroglossa","4","121.75","38.18704","19.09352","2291.973292"
"Nogueirapis_mirandula","9","147.333333","68.474448","22.824816","1018.654796"
"Eufriesea_schmidtiana","11","159.909091","60.946623","18.376098","833.444833"
"Exaerete_dentata","17","140.941176","87.530331","21.229224","539.287833"
"Eufriesea_mussitans","15","139.733333","78.444217","20.25421","611.192878"
"Euglossa_villosa","2","70","22.627417","16","4583.946583"
"Scaura_argyrea","22","178.045455","49.577719","10.570005","416.722417"
"Eufriesea_lucifera","8","111","73.85507","26.11171","1145.986646"
"Scaptotrigona_luteipennis","11","136.181818","69.275996","20.887499","833.444833"
"Bombus_zonatus","28","63","102.346905","19.341747","327.424756"
"Nomada_calloptera","9","65.888889","107.263046","35.754349","1018.654796"
"Nomada_harimensis","6","60.333333","95.763598","39.095325","1527.982194"
"Nomada_aswensis","2","131","175.362482","124","4583.946583"
"Nomada_comparata","6","101.5","121.000413","49.398212","1527.982194"
"Nomada_ginran","7","49.428571","91.036361","34.40851","1309.699024"
"Nomada_okubira","2","255","0","0","4583.946583"
"Ceratina_flavipes","24","95.041667","115.749159","23.627198","381.995549"
"Ceratina_iwatai","7","49","91.411159","34.550171","1309.699024"
"Ceratina_japonica","34","113.588235","114.372893","19.614789","269.643917"
"Thyreus_decorus","27","131.851852","114.954407","22.122986","339.551599"
"Alloscirtetica_chilena","7","219","95.247047","36","1309.699024"
"Epeolus_friesei","5","57.2","110.581192","49.453412","1833.578633"
"Thyreus_novaehollandiae","9","150.888889","104.945753","34.981918","1018.654796"
"Alloscirtetica_vagabunda","2","8.5","2.12132","1.5","4583.946583"
"Nomada_posthuma","10","90.1","103.662326","32.780906","916.789317"
"Nomada_emarginata","23","63.217391","90.938019","18.961888","398.604051"
"Scaptotrigona_xanthotricha","21","104.142857","52.384431","11.43122","436.566341"
"Ceratina_unimaculata","26","132.769231","66.867216","13.11374","352.611276"
"Xylocopa_tranquebarica","34","118.470588","82.205668","14.098156","269.643917"
"Xylocopa_cantabrita","42","42.571429","60.584206","9.348346","218.283171"
"Bombus_rufipes","4","102.25","101.85079","50.925395","2291.973292"
"Bombus_formosellus","2","126","9.899495","7","4583.946583"
"Amegilla_calceifera","10","161","96.37427","30.47622","916.789317"
"Apis_laboriosa","25","82.96","51.545676","10.309135","366.715727"
"Bombus_sonani","2","146","22.627417","16","4583.946583"
"Ceratina_cyaniventris","2","43","9.899495","7","4583.946583"
"Bombus_fragrans","20","135.6","123.072679","27.519888","458.394658"
"Bombus_rufofasciatus","6","51.166667","100.686477","41.105082","1527.982194"
"Biastes_brevicornis","22","48.909091","84.903255","18.101435","416.722417"
"Xylocopa_ruficornis","35","119.457143","94.318404","15.94272","261.939805"
"Melectoides_triseriatus","14","73.785714","89.729661","23.981261","654.849512"
"Tetragonula_atripes","5","117.8","80.319363","35.919911","1833.578633"
"Bombus_ladakhensis","3","13","5.567764","3.21455","3055.964389"
"Xylocopa_lugubris","54","68.648148","75.609263","10.289117","169.775799"
"Acanthopus_palmatus","19","131","79.682704","18.280466","482.520693"
"Isepeolus_septemnotatus","13","98.076923","86.443104","23.975003","705.222551"
"Anthophora_incerta","6","138.166667","128.036583","52.270716","1527.982194"
"Xylocopa_inconstans","58","55.362069","51.729288","6.792388","158.067124"
"Triepeolus_paenepectoralis","13","128.230769","122.752565","34.045436","705.222551"
"Eucera_elongatula","8","142.625","120.272236","42.522657","1145.986646"
"Xylocopa_watmoughi","17","76.529412","103.132268","25.013249","539.287833"
"Eufriesea_mariana","17","97.235294","78.016448","18.921768","539.287833"
"Plebeia_flavocincta","11","53.727273","35.298983","10.643044","833.444833"
"Nomada_rhenana","31","102.612903","107.229871","19.259053","295.738489"
"Nomada_symphyti","7","57.285714","87.654082","33.130129","1309.699024"
"Amegilla_nubica","51","51.470588","78.5013","10.992381","179.762611"
"Thalestria_spinosa","30","161.233333","82.189303","15.005645","305.596439"
"Triepeolus_robustus","6","7.166667","7.332576","2.993512","1527.982194"
"Braunsapis_puangensis","15","105.933333","96.43315","24.898932","611.192878"
"Homotrigona_melanoleuca","10","113.1","61.857273","19.560987","916.789317"
"Centris_testacea","6","133.833333","66.439195","27.123688","1527.982194"
"Euglossa_jamaicensis","1","148",NA,NA,"9167.893166"
"Bombus_longipes","4","8.75","3.5","1.75","2291.973292"
"Ctenoplectra_cornuta","2","133.5","4.949747","3.5","4583.946583"
"Ctenioschelus_goryi","15","141.133333","84.506861","21.819578","611.192878"
"Bombus_coreanus","7","8.857143","4.059087","1.534191","1309.699024"
